Gene	TAP0	TAPHL15	TAPHL120	TP0	TP15	TP120	TPHL15	TPHL120
g1140.t1	18.5616	9.78265	20.2992	6.11948	22.5092	25.3088	4.63403	14.9897
g5070.t1	5.5581	2.92802	5.04271	0	7.74567	6.02738	1.72241	1.68487
g3597.t1	12.9475	6.82001	12.2136	53.9298	9.14777	10.1179	137.374	10.1201
g2800.t1	6.25728	3.29552	10.1177	0	5.15359	9.92564	0.327208	3.02985
g6574.t1	10.4269	5.49108	7.67495	3.80253	8.80586	8.34933	3.12172	5.89851
g6533.t1	5.78519	3.04664	4.86606	3.51991	4.90284	5.13703	4.55368	4.39755
g9292.t1	25.6309	13.4937	15.777	1.16705	21.283	30.3392	4.85326	3.39285
g8090.t1	10.3291	5.43783	5.5516	6.99494	8.90674	8.51136	1.32552	7.84403
g1304.t1	9.813	5.16288	6.69237	4.77457	6.72714	6.40382	3.56791	5.53708
g287.t1	7.82081	4.11458	5.07268	9.27794	9.02733	9.68501	9.03132	10.4912
g8942.t1	12.3561	6.49979	13.6956	12.8025	11.8898	14.1013	3.77677	3.75705
g7114.t1	10.2697	5.40216	12.1605	4.35169	10.3799	11.9351	6.23443	7.966
g5960.t1	13.342	7.01762	11.0476	0.263262	14.5272	13.3338	1.36561	2.54698
g1966.t1	21.7049	11.4152	23.0718	30.2649	25.4329	22.0277	17.2459	5.20794
g5585.t1	28.5996	15.0404	72.0874	189.757	13.4928	13.4342	175.246	13.6792
g8777.t1	4.49587	2.36313	3.35696	6.59636	3.48059	4.64369	4.01727	1.82369
g10170.t1	11.1397	5.85408	11.0678	7.62576	10.0308	16.9444	8.3485	8.94534
g7510.t1	13.667	7.18159	6.01382	29.6511	20.0628	15.3041	6.8538	8.37253
g7195.t1	8.59654	4.5166	6.26816	29.3147	7.58929	4.98292	20.4822	3.22834
g5183.t1	29.5816	4.18187	7.42521	58.8609	11.6697	20.454	4.26316	8.62356
g5030.t1	4.32295	2.27096	3.80301	0.445822	3.95004	3.63566	0.5215	0.463457
g982.t1	139.152	73.0989	222.682	585.523	125.754	53.9678	608.546	50.1888
g376.t1	6.53344	3.43153	3.27339	4.2825	6.61812	5.8712	1.3913	3.16584
g10462.t1	16.5431	8.68656	33.3322	17.3777	17.4281	19.3223	25.9895	10.8231
g7778.t1	8.83328	4.63637	6.0667	5.94222	9.81377	3.51798	4.13272	19.2259
g3891.t1	1.98596	1.0423	2.58441	0.430589	3.49803	4.66791	0.297147	4.40344
g5435.t1	7.33405	3.84838	7.92816	0	10.3386	5.47563	0.896329	1.38294
g5726.t1	3.99209	2.09451	5.81588	4.12658	4.50328	5.18259	0.863752	2.57546
g10853.t1	6.63369	3.47919	5.22565	0.858516	9.38423	9.98662	2.0555	1.21879
g761.t1	5.99344	3.14274	9.0556	75.5848	5.00109	6.14753	53.8815	1.43807
g3196.t1	14.5022	7.6038	12.283	14.8311	13.8434	21.2491	5.96844	13.6662
g7477.t1	9.2395	4.84414	8.02673	0.71251	9.00555	7.3938	0.764299	2.81797
